,original,untrusted,plagiarism
0," public class T1 { public static void main(String[] args) { System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); } } "," import java.util.Scanner; public class Soal1 {     public static void main(String[] args) {         for(int i = 0; i<5; i++)                 System.out.println(""Welcome to Java"");              } } ",0
1," public class T1 { public static void main(String[] args) { System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); } } "," public class Kasus1L1 {          public static void main(String[] args) {                  System.out.println(""Welcome to Java"");         System.out.println(""Welcome to Java"");         System.out.println(""Welcome to Java"");         System.out.println(""Welcome to Java"");         System.out.println(""Welcome to Java"");     } } ",1
2," public class T1 { public static void main(String[] args) { System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); } } "," public class Kasus1L3 {          public static void main(String[] args) {          String teks = ""Welcome to Java"";         System.out.println(teks);         System.out.println(teks);         System.out.println(teks);         System.out.println(teks);         System.out.println(teks);     }      } ",1
3," public class T1 { public static void main(String[] args) { System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); } } "," public class Kasus1L6 {               public static void main(String[] args) {                  cetakTeks(""Welcome to Java"");     }     private static void cetakTeks(String teks) {         int i = 5;         while(i > 0){             System.out.println(teks);             i--;         }     } } ",1
4," public class T1 { public static void main(String[] args) { System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); } } "," public class L1 {     public static void main(String[] args) {         System.out.println(""Welcome to Java"");         System.out.println(""Welcome to Java"");         System.out.println(""Welcome to Java"");         System.out.println(""Welcome to Java"");         System.out.println(""Welcome to Java"");     } } ",1
5," public class T1 { public static void main(String[] args) { System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); } } "," public class L2 {      public static void main(String[] args) {         System.out.println(""Welcome to Java"");         System.out.println(""Welcome to Java"");         System.out.println(""Welcome to Java"");         System.out.println(""Welcome to Java"");         System.out.println(""Welcome to Java"");     } } ",1
6," public class T1 { public static void main(String[] args) { System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); } } "," public class L3 {     public static void main(String[] args) {         System.out.println(""Welcome to Java"");         System.out.println(""Welcome to Java"");         System.out.println(""Welcome to Java"");         System.out.println(""Welcome to Java"");         System.out.println(""Welcome to Java"");     } } ",1
7," public class T1 { public static void main(String[] args) { System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); } } "," public class L4 {     public static void print() {         System.out.println(""Welcome to Java"");         System.out.println(""Welcome to Java"");         System.out.println(""Welcome to Java"");         System.out.println(""Welcome to Java"");         System.out.println(""Welcome to Java"");     }     public static void main(String[] args) {                  print();     } } ",1
8," public class T1 { public static void main(String[] args) { System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); } } "," public class L5 {     public static void print() {         for (int i = 0; i < 5; i++) {             System.out.print(""Welcome to Java\n"");         }     }     public static void main(String[] args) {         print();     } } ",1
9," public class T1 { public static void main(String[] args) { System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); } } "," public class L6 {     public static void print() {         for (int i = 5; i > 0; i--) {             System.out.print(""Welcome to Java\n"");         }     }     public static void main(String[] args) {         print();     } } ",1
10," public class T1 { public static void main(String[] args) { System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); } } "," public class Level1 {     public static void main(String[] args)     {                  System.out.println(""Welcome to Java"");         System.out.println(""Welcome to Java"");         System.out.println(""Welcome to Java"");         System.out.println(""Welcome to Java"");         System.out.println(""Welcome to Java"");     } } ",1
11," public class T1 { public static void main(String[] args) { System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); } } "," public class Level3  {     public static void main(String[] args)      {         System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java"");     } } ",1
12," public class T1 { public static void main(String[] args) { System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); } } "," public class Level4 {     public static void main(String[] args) {         String kal = ""Welcome to Java"";         tampil(kal);     }          private static void tampil(String kalimat) {         System.out.println(kalimat);         System.out.println(kalimat);         System.out.println(kalimat);         System.out.println(kalimat);         System.out.println(kalimat);     } } ",1
13," public class T1 { public static void main(String[] args) { System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); } } "," public class Level6  {     public static void main(String[] args)      {         String input = ""Welcome to Java\n"";         keluaran(input);     }          private static void keluaran(String kal)      {         int limit=0;          while(limit!=5)          {             System.out.print(kal);             limit++;         }     } } ",1
14," public class T1 { public static void main(String[] args) { System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); } } "," public class Main {          public static void main(String[] args) {         String a = ""Welcome To Java"";         for(int i=0;i<6;i++)         {             System.out.println(a);         }              }      } ",0
15," public class T1 { public static void main(String[] args) { System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); } } "," public class Main {     public static void main(String[] args) {                          System.out.println(""Welcome to Java"");             System.out.println(""Welcome to Java"");             System.out.println(""Welcome to Java"");             System.out.println(""Welcome to Java"");             System.out.println(""Welcome to Java"");     } } ",1
16," public class T1 { public static void main(String[] args) { System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); } } "," public class Main {     public static void main(String[] args) {              System.out.println(""Welcome to Java"");              System.out.println(""Welcome to Java"");              System.out.println(""Welcome to Java"");              System.out.println(""Welcome to Java"");              System.out.println(""Welcome to Java"");     } } ",1
17," public class T1 { public static void main(String[] args) { System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); } } "," public class Main {     public static void main(String[] args) {              System.out.println(""Welcome to Java"");              System.out.println(""Welcome to Java"");              System.out.println(""Welcome to Java"");              System.out.println(""Welcome to Java"");              System.out.println(""Welcome to Java"");     } } ",1
18," public class T1 { public static void main(String[] args) { System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); } } "," public class Main {     public static void main(String[] args) {              System.out.println(""Welcome to Java"");              System.out.println(""Welcome to Java"");              System.out.println(""Welcome to Java"");              System.out.println(""Welcome to Java"");              System.out.println(""Welcome to Java"");     } } ",1
19," public class T1 { public static void main(String[] args) { System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); } } "," public class Main {     public static void main(String[] args) {          cetak();     }     public static void cetak(){         System.out.println(""Welcome to Java"");          System.out.println(""Welcome to Java"");          System.out.println(""Welcome to Java"");          System.out.println(""Welcome to Java"");          System.out.println(""Welcome to Java"");     } } ",1
20," public class T1 { public static void main(String[] args) { System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); } } "," public class Main {     public static void main(String[] args) {          cetak();     }     public static void cetak(){         for (int i = 0; i < 5; i++) {             System.out.println(""Welcome to Java"");                       }     } } ",1
21," public class T1 { public static void main(String[] args) { System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); } } "," public class Main {     public static void main(String[] args) {          cetak();     }     public static void cetak(){         for (int i = 5; i > -1; i--) {             System.out.println(""Welcome to Java"");                       }     } } ",1
22," public class T1 { public static void main(String[] args) { System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); } } "," public class Main {     public static void main(String[] args) {     for(int i=0;i<5;i++){         System.out.println(""Welcome To Java"");         }     } } ",0
23," public class T1 { public static void main(String[] args) { System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); } } "," public class Main {     public static void printOut(){         System.out.println(""Welcome to Java"");     }     public static void main(String[] args) {                  printOut();         printOut();         printOut();         printOut();         printOut();     } } ",1
24," public class T1 { public static void main(String[] args) { System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); } } "," public class No1 {          public static void main(String[] args) {                  System.out.println(""Welcome To Java"");         System.out.println(""Welcome To Java"");         System.out.println(""Welcome To Java"");         System.out.println(""Welcome To Java"");         System.out.println(""Welcome To Java"");     }      } ",0
25," public class T1 { public static void main(String[] args) { System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); } } "," public class Nomor1_2451041557A22145B3701B0184109CAB013 {          public static void main(String[] args) {         for(int i=0;i<5;i++)         {             System .out.println(""Welcome To Java"");         }     }      } ",0
26," public class T1 { public static void main(String[] args) { System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); } } "," public class PrintJava {     public static void main(String[] args) {                          System.out.println(""Welcome to Java"");             System.out.println(""Welcome to Java"");             System.out.println(""Welcome to Java"");             System.out.println(""Welcome to Java"");             System.out.println(""Welcome to Java"");     } } ",1
